"","elife_institution","THE_rank"
"2999","IRCM","Standard/Unranked/Unknown"
"3000","Krembil Research Institute","Standard/Unranked/Unknown"
"3001","Lunenfeld-Tanenbaum Research Institute","Standard/Unranked/Unknown"
"3002","Lunenfeld-Tanenbaum Research Institute;University of Toronto","Standard/Unranked/Unknown"
"3003","Douglas Mental Health University Institute, Mcgill University","Standard/Unranked/Unknown"
"3004","Montreal Neurological Institute and Hospital, McGill University","Standard/Unranked/Unknown"
"3005","Ottawa Hospital Research Institute","Standard/Unranked/Unknown"
"3006","Princess Margaret Cancer Centre","Standard/Unranked/Unknown"
"3007","Université de Montréal","Standard/Unranked/Unknown"
"3008","University Health Network","Standard/Unranked/Unknown"
"3009","National Institute of Information and Communications Technology","Standard/Unranked/Unknown"
"3010","McGill University Faculty of Medicine","Standard/Unranked/Unknown"
"3011","Jewish General Hospital","Standard/Unranked/Unknown"
"3012","Universidad Austral de Chile","Standard/Unranked/Unknown"
"3013","Universidad de Valparaiso","Standard/Unranked/Unknown"
"3014","Universidad Mayor","Standard/Unranked/Unknown"
"3015","Institute of Molecular Medicine","Standard/Unranked/Unknown"
"3016","National Institute of Biological Sciences","Standard/Unranked/Unknown"
"3017","National Institute of Biological Sciences, Beijing","Standard/Unranked/Unknown"
"3018","Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3019","School of Life Sciences, Tsinghua University","Standard/Unranked/Unknown"
"3020","Institute of Zoology, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3021","Wuhan National Laboratory for Optoelectronics-Huazhong University of Science and Technology","Standard/Unranked/Unknown"
"3022","Insitute of Health Sciences, SIBS, CAS","Standard/Unranked/Unknown"
"3023","Institute of Genetics and Developmental Biology","Standard/Unranked/Unknown"
"3024","Novartis Institutes for BioMedical Research","Standard/Unranked/Unknown"
"3025","Institute of Biophysics, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3026","Institute of Genetics and Developmental Biology, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3027","Institute of Genetics and Developmental Biology,CAS","Standard/Unranked/Unknown"
"3028","Brown Foundation Institute of Molecular Medicine","Standard/Unranked/Unknown"
"3029","Institute of Zoology","Standard/Unranked/Unknown"
"3030","Peking University Health Science Center","Standard/Unranked/Unknown"
"3031","Shanghai Institute of Plant Physiology and Ecology","Standard/Unranked/Unknown"
"3032","Wuhan Institute of Physics and Mathematics of the Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3033","Institute of Biochemistry and Cell Biology, Shanghai Institute for Biological Sciences, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3034","USTC","Standard/Unranked/Unknown"
"3035","Institute of Basic Medical Sciences","Standard/Unranked/Unknown"
"3036","Institute of Plant Physiology and Ecology, Shanghai Institutes for Biological Sciences","Standard/Unranked/Unknown"
"3037","Shanghai Academy of Agricultural Sciences,  Shanghai 201403, China","Standard/Unranked/Unknown"
"3038","CAS Center for Excellence in Brain Science and Intelligence Technology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3039","Chinese Academy of Agricultural Sciences","Standard/Unranked/Unknown"
"3040","Institute of Botany, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3041","Shaanxi Normal University","Standard/Unranked/Unknown"
"3042","Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3043","The First Affiliated Hospital of Zhengzhou University","Standard/Unranked/Unknown"
"3044","Kunming Institute of Zoology","Standard/Unranked/Unknown"
"3045","Beijing Institute of Microbiology and Epidemiology","Standard/Unranked/Unknown"
"3046","Shanghai Institute of Biochemistry and Cell Biology, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3047","College of Biological Sciences, China Agricultural University","Standard/Unranked/Unknown"
"3048","Guangdong-Hongkong-Macau Institute of CNS Regeneration","Standard/Unranked/Unknown"
"3049","University of Leipzig","Standard/Unranked/Unknown"
"3050","Institute of Biochemistry and Cell Biology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3051","National Key Laboratory of Medical Immunology and Institute of Immunology","Standard/Unranked/Unknown"
"3052","Institute of Medical Science, Shanghai Jiao Tong University School of Medicine","Standard/Unranked/Unknown"
"3053","Institute of Neuroscience and State Key Laboratory of Neuroscience","Standard/Unranked/Unknown"
"3054","Institute of Neuroscience, CAS","Standard/Unranked/Unknown"
"3055","Institute of Neuroscience, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3056","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention","Standard/Unranked/Unknown"
"3057","School of Life Science, Shandong University","Standard/Unranked/Unknown"
"3058","School of Life Science, Xiamen University","Standard/Unranked/Unknown"
"3059","Institute of Biophysics","Standard/Unranked/Unknown"
"3060","Shanghai Institutes for Biological Sciences","Standard/Unranked/Unknown"
"3061","State Key Laboratory of Brain and Cognitive Sciences, Institute of Biophysics","Standard/Unranked/Unknown"
"3062","The Fourth Military Medical University","Standard/Unranked/Unknown"
"3063","The Second Affiliated Hospital, Zhejiang University School of Medicine","Standard/Unranked/Unknown"
"3064","Stowers Institute for Medical Research","Standard/Unranked/Unknown"
"3065","University of Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3066","Wuhan Institute of Physics and Mathematics","Standard/Unranked/Unknown"
"3067","Shanghai Tenth People's Hospital","Standard/Unranked/Unknown"
"3068","Universidad de Los Andes","Standard/Unranked/Unknown"
"3069","Institute of Clinical Sciences (ICS), Faculty of Medicine, Imperial College London","Standard/Unranked/Unknown"
"3070","Mediterranean Institute for Life Sciences","Standard/Unranked/Unknown"
"3071","Institute of Microbiology of the CAS","Standard/Unranked/Unknown"
"3072","Institute of Physiology ASCR","Standard/Unranked/Unknown"
"3073","Biology Centre CAS","Standard/Unranked/Unknown"
"3074","Institute of Microbiology ASCR","Standard/Unranked/Unknown"
"3075","Public Health England","Standard/Unranked/Unknown"
"3076","Cambridge Institute for Medical Research, Univ of Cambridge","Standard/Unranked/Unknown"
"3077","Rigshospitalet","Standard/Unranked/Unknown"
"3078","Massachusetts General Hospital / Harvard Medical School","Standard/Unranked/Unknown"
"3079","Institute of Basic Medicine, Chinese PLA General Hospital, Beijing, China","Standard/Unranked/Unknown"
"3080","MPIO","Standard/Unranked/Unknown"
"3081","Åbo Akademi University","Standard/Unranked/Unknown"
"3082","Faculté de médecine Paris Sud","Standard/Unranked/Unknown"
"3083","Institut Pasteur de Lille","Standard/Unranked/Unknown"
"3084","Pasteur Institute","Standard/Unranked/Unknown"
"3085","Université de Montpellier","Standard/Unranked/Unknown"
"3086","CNRS","Standard/Unranked/Unknown"
"3087","French National Centre for Scientific Research","Standard/Unranked/Unknown"
"3088","Universitat Pompeu Fabra","Standard/Unranked/Unknown"
"3089","Institut Jacques Monod","Standard/Unranked/Unknown"
"3090","Pierre and Marie Curie University","Standard/Unranked/Unknown"
"3091","Université de Liège - Gembloux Agro-Bio Tech","Standard/Unranked/Unknown"
"3092","Université Paris-Sud","Standard/Unranked/Unknown"
"3093","French National Institute for Agricultural Research","Standard/Unranked/Unknown"
"3094","Institut Pasteur","Standard/Unranked/Unknown"
"3095","Centre National de la Recherche Scientifique","Standard/Unranked/Unknown"
"3096","Université Paris-Saclay","Standard/Unranked/Unknown"
"3097","CNRS - Université Paris Diderot","Standard/Unranked/Unknown"
"3098","INSERM UMR1037","Standard/Unranked/Unknown"
"3099","Institut Curie, Paris Sciences et Lettres Research University","Standard/Unranked/Unknown"
"3100","Centro Nacional de Investigaciones Cardiovasculares Carlos III (CNIC)","Standard/Unranked/Unknown"
"3101","Clermont Auvergne University","Standard/Unranked/Unknown"
"3102","CNRS UMR 7622, IBPS-Developmental Biology Laboratory","Standard/Unranked/Unknown"
"3103","Institut Cochin, Inserm u1016, Paris Descartes University","Standard/Unranked/Unknown"
"3104","Institut du Fer à Moulin, Inserm UMR-S 839","Standard/Unranked/Unknown"
"3105","Laboratoire de Biologie du Développement de Villefranche-sur-Mer (UMR 7009 - CNRS/UPMC)","Standard/Unranked/Unknown"
"3106","University of Paris-11, INSERM. Bicêtre Hospital","Standard/Unranked/Unknown"
"3107","Campus International de Baillarguet","Standard/Unranked/Unknown"
"3108","Centre National de la Recherche Scientifique, Ecole Normale Supérieure de Lyon","Standard/Unranked/Unknown"
"3109","Centre National de Recherche Scientifique","Standard/Unranked/Unknown"
"3110","Université de la Guyane, UMR EcoFoG","Standard/Unranked/Unknown"
"3111","CNRS UMR 6290","Standard/Unranked/Unknown"
"3112","CNRS-UPMC","Standard/Unranked/Unknown"
"3113","CNRS, Université de Montpellier","Standard/Unranked/Unknown"
"3114","Commissariat à l'énergie atomique et aux énergies alternatives","Standard/Unranked/Unknown"
"3115","Universit´e Pierre et Marie Curie","Standard/Unranked/Unknown"
"3116","Universite de Bordeaux - CNRS","Standard/Unranked/Unknown"
"3117","French Institute of Health and Medical Research","Standard/Unranked/Unknown"
"3118","Genetics Reproduction and Development Laboratory (GReD)","Standard/Unranked/Unknown"
"3119","IGBMC","Standard/Unranked/Unknown"
"3120","INSERM U5309 CNRS UMR1209","Standard/Unranked/Unknown"
"3121","Institut Curie","Standard/Unranked/Unknown"
"3122","Institut Pasteur & INSERM","Standard/Unranked/Unknown"
"3123","IRD","Standard/Unranked/Unknown"
"3124","Muséum d'Histoire Naturelle, Sorbonne Universités","Standard/Unranked/Unknown"
"3125","Station Biologique de Roscoff, Centre National de la Recherche Scientifique (CNRS) and Université Pierre et Marie Curie (UPMC)","Standard/Unranked/Unknown"
"3126","UMR8261 CNRS - Université Paris Diderot","Standard/Unranked/Unknown"
"3127","The Sainsbury Laboratory","Standard/Unranked/Unknown"
"3128","Université Paris-Diderot","Standard/Unranked/Unknown"
"3129","Collège de France","Standard/Unranked/Unknown"
"3130","French Institute for Research in Computer Science and Automation","Standard/Unranked/Unknown"
"3131","INSERM U1151 - University Paris Descartes","Standard/Unranked/Unknown"
"3132","Institut de Génomique Fonctionnelle de Lyon","Standard/Unranked/Unknown"
"3133","Centre for Psychiatry and Neuroscience Inserm 894","Standard/Unranked/Unknown"
"3134","CNRS and Ecole Normale Superieure de Lyon","Standard/Unranked/Unknown"
"3135","Institut de Génétique et de Biologie Moléculaire et Cellulaire","Standard/Unranked/Unknown"
"3136","Institut de Pharmacologie Moléculaire et Cellulaire (IPMC), Centre National de la Recherche Scientifique (CNRS), Université de Nice Sophia Antipolis, UMR 7275","Standard/Unranked/Unknown"
"3137","Pasteur Institute of Paris","Standard/Unranked/Unknown"
"3138","Université de Strasbourg, CNRS","Standard/Unranked/Unknown"
"3139","INSERM","Standard/Unranked/Unknown"
"3140","Institut Cochin, INSERM U1016","Standard/Unranked/Unknown"
"3141","Insitut Curie","Standard/Unranked/Unknown"
"3142","Centre national de la recherche scientifique","Standard/Unranked/Unknown"
"3143","Centre de Biologie du Développement","Standard/Unranked/Unknown"
"3144","INRIA - Montpellier","Standard/Unranked/Unknown"
"3145","Institut de Génétique et de Biologie    Moléculaire et Cellulaire","Standard/Unranked/Unknown"
"3146","Université de Lyon","Standard/Unranked/Unknown"
"3147","Toulouse NeuroImaging Center, Université de Toulouse, Inserm, UPS, France; CHU Toulouse Purpan, Neurology department, Toulouse, France","Standard/Unranked/Unknown"
"3148","CNRS, Université Grenoble Alpes, CEA","Standard/Unranked/Unknown"
"3149","Université Paris Descartes","Standard/Unranked/Unknown"
"3150","IBENS, UMR 8197 CNRS-ENS Ecole Normale Supérieure","Standard/Unranked/Unknown"
"3151","INSERM U1052 - Cancer Research Center Lyon (CRCL)","Standard/Unranked/Unknown"
"3152","Institut Curie, Centre de Recherche","Standard/Unranked/Unknown"
"3153","Institut Jacques MONOD-UMR CNRS Paris Diderot 7595","Standard/Unranked/Unknown"
"3154","Institut Pasteur-CNRS","Standard/Unranked/Unknown"
"3155","Institut Cochin - Inserm U1016-CNRS UMR8104-Université Paris Descartes","Standard/Unranked/Unknown"
"3156","Université Pierre et Marie Curie (UPMC)","Standard/Unranked/Unknown"
"3157","Institut de Biologie de l'École Normale Supérieure, Inserm U1024, CNRS UMR8197","Standard/Unranked/Unknown"
"3158","Cancer Research Center of Marseille, CNRS UMR7258, Inserm U1068","Standard/Unranked/Unknown"
"3159","Marine Biological Laboratory","Standard/Unranked/Unknown"
"3160","Centre de Recherche en Cancerologie de Marseille","Standard/Unranked/Unknown"
"3161","Centre Méditerranéen de Médecine Moléculaire, C3M, INSERM U1065, France","Standard/Unranked/Unknown"
"3162","CNRS / Université Paris Descartes","Standard/Unranked/Unknown"
"3163","CNRS UMR8118, Paris Descartes University","Standard/Unranked/Unknown"
"3164","CNRS Université de Bordeaux","Standard/Unranked/Unknown"
"3165","CNRS UPR3212","Standard/Unranked/Unknown"
"3166","CNRS-Université Aix-Marseille","Standard/Unranked/Unknown"
